verdict	http	https	url
ok-https	200	200	http://archive.boston.com/news/globe/ideas/articles/2003/10/05/out_of_the_matrix/
ok-https	200	200	http://arxiv.org/abs/astro-ph/0302131
ok-https	200	200	http://dx.doi.org/10.1037/0033-295X.108.4.814
ok-https	200	200	http://en.wikipedia.org/wiki/Blood_type_diet
ok-https	200	200	http://en.wikipedia.org/wiki/Emergence
ok-https	200	200	http://en.wikipedia.org/wiki/Price_equation
fail	403	403	http://goo.gl/3HcEgh
ok-https	200	200	http://hal.archives-ouvertes.fr/file/index/docid/904097/filename/MercierSperberWhydohumansreason.pdf
ok-https	200	200	http://homeonthestrange.com/phpBB2/viewforum.php?f=4
ok-https	200	200	http://interstice.com/%7Esimon/AfterLife/
ok-https	200	200	http://jetpress.org/v16/hanson.pdf
ok-https	200	200	http://lesswrong.com/lw/2k/the_least_convenient_possible_world/
ok-https	200	200	http://lesswrong.com/lw/5i8/the_power_of_agency/
ok-https	200	200	http://lesswrong.com/lw/gr/the_modesty_argument
ok-https	200	200	http://lesswrong.com/lw/h5/archimedess_chronophone
ok-https	200	200	http://lesswrong.com/lw/h6/chronophone_motivations
ok-https	200	200	http://lesswrong.com/lw/hf/debiasing_as_nonselfdestruction
ok-https	200	200	http://lesswrong.com/lw/hl/lotteries_a_waste_of_hope/e1u
ok-https	200	200	http://lesswrong.com/lw/i6/professing_and_cheering/egb
ok-https	200	200	http://lesswrong.com/lw/io/is_molecular_nanotechnology_scientific
ok-https	200	200	http://lesswrong.com/lw/j0/making_history_available/ewg
ok-https	200	200	http://lesswrong.com/lw/jb/applause_lights/f1t
ok-https	200	200	http://lesswrong.com/lw/jl/what_is_evidence/f7h
ok-https	200	200	http://lesswrong.com/lw/kb/cant_say_no_spending
ok-https	200	200	http://lesswrong.com/lw/l2/protein_reinforcement_and_dna_consequentialism/
ok-https	200	200	http://lesswrong.com/lw/lf/purpose_and_pragmatism/
ok-https	200	200	http://lesswrong.com/lw/lm/affective_death_spirals/gp5
ok-https	200	200	http://lesswrong.com/lw/lz/guardians_of_the_truth
ok-https	200	200	http://lesswrong.com/lw/m1/guardians_of_ayn_rand
ok-https	200	200	http://lesswrong.com/lw/s3/the_genetic_fallacy/lls
ok-https	200	200	http://lesswrong.com/lw/uy/dark_side_epistemology/4xbv
ok-https	200	200	http://lesswrong.com/lw/vs/selling_nonapples
ok-https	200	200	http://lesswrong.com/rationality
ok-https	200	200	http://lesswrong.com/static/imported/2008/07/30/biggornandkirk_2.jpg
fail	403	403	http://marginalrevolution.com/marginalrevolution/2007/08/how-important-i.html
fail	403	403	http://marginalrevolution.com/marginalrevolution/2007/12/how-my-views-di.html
ok-https	200	200	http://news.bbc.co.uk/2/hi/technology/4137782.stm
ok-https	200	200	http://nymag.com/news/features/27840
fail	403	403	http://people.virginia.edu/~tdw/nisbett&wilson.pdf
ok-https	200	200	http://rationality.org/
ok-https	200	200	http://slatestarcodex.com/2014/11/27/why-i-am-not-rene-descartes/
ok-https	200	200	http://ssc.wisc.edu/~jpiliavi/965/hwang.pdf
ok-https	200	200	http://thedailywtf.com/Articles/No,_We_Need_a_Neural_Network.aspx
fail	404	404	http://uk.wikipedia.org/wiki/Ефект_свідка_(психологія
fail	404	404	http://uk.wikipedia.org/wiki/Оптова_угода_(логічна_хиба
fail	503	503	http://web.archive.org/web/20060424082937/http://www.nvon.nl/scheik/best/diversen/scijokes/scijokes.txt
fail	503	503	http://web.archive.org/web/20130328012735/http://commonsenseatheism.com/wp-content/uploads/2011/09/Fetherstonhaugh-et-al-Insensitivity-to-the-value-of-human-life-A-study-of-psychophysical-numbing.pdf
fail	403	403	http://www.economist.com/blogs/freeexchange/2007/04/the_future_of_fantasy
fail	526	526	http://www.gnxp.com/MT2/archives/003540.html
ok-https	200	200	http://www.jetpress.org/volume9/risks.html
ok-https	200	200	http://www.jstor.org/stable/2117767
ok-https	200	200	http://www.jstor.org/stable/3151931
fail	404	404	http://www.lesswrong.com/rationality/the-twelve-virtues-of-rationality
fail	ERR	ERR	http://www.overcoming-bias.com/2007/06/against_free_th.html
ok-https	200	200	http://www.overcomingbias.com/2006/12/agreeing_to_agr.html
ok-https	200	200	http://www.overcomingbias.com/2006/12/biases_of_scien.html
ok-https	200	200	http://www.overcomingbias.com/2006/12/you_are_never_e.html
ok-https	200	200	http://www.overcomingbias.com/2007/04/expert_at_versu.html
fail	429	404	http://www.overcomingbias.com/2007/05/policy_
ok-https	200	200	http://www.overcomingbias.com/2007/05/policy_tugowar.html
ok-https	429	200	http://www.overcomingbias.com/2007/09/cut-medicine-in.html
fail	429	429	http://www.overcomingbias.com/2007/10/how-to-seem-and.html
fail	429	429	http://www.overcomingbias.com/2007/10/outside-the-box.html
fail	429	429	http://www.overcomingbias.com/2007/12/economist-judgm.html
fail	429	429	http://www.overcomingbias.com/2009/02/the-cost-of-talking-values.html
fail	403	403	http://www.pnas.org/cgi/reprint/72/1/143.pdf
fail	403	403	http://www.pnas.org/cgi/reprint/73/12/4604.pdf
